Aggregated Freyja results,,,,,,,
Sample,summarized,lineages,abundances,resid,coverage,primary lineage,primary lineage percentage
UT-UPHL-250307501177,"[('XEC* (XEC.X)', 0.9982629594297868)]",XEC.9,0.99826296,14.966912423634987,99.76256562886667,XEC.9,0.99826296
UT-UPHL-250307504809,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9990264588836364)]",MC.28.1.1,0.99902646,12.33737137471149,99.52847540380564,MC.28.1.1,0.99902646
UT-UPHL-250307650876,"[('XEC* (XEC.X)', 0.9940639127214107)]",XEC.4,0.99406391,19.495605056724504,99.83279269638498,XEC.4,0.99406391
UT-UPHL-250307664894,"[('LP.8.1* (LP.8.1.X)', 0.9994010344697564)]",NY.13 NY.13.2,0.99167935 0.00772169,12.544299182320259,99.74918904457746,NY.13,0.99167935
UT-UPHL-250307701263,"[('XEC* (XEC.X)', 0.9929839629676115)]",XEC.20 XEC.32.2 XEC.15 XEC.17 XEC.5 XEC.8 XEC.38,0.97775218 0.00665436 0.00328104 0.00154398 0.00146652 0.00118204 0.00110384,17.465091053670825,99.83613684245728,XEC.20,0.97775218
UT-UPHL-250307704821,"[('XEC* (XEC.X)', 0.9884884082192519)]",XEC.25 XEC.36 XEC.15,0.98506033 0.00198651 0.00144157,16.08685008605637,99.93311707855399,XEC.25,0.98506033
UT-UPHL-250307741177,"[('XEC* (XEC.X)', 0.9985113543540762)]",XEC.20 XEC.4,0.99571879 0.00279257,12.832992861272727,97.81292846871551,XEC.20,0.99571879
UT-UPHL-250307752210,"[('LP.8.1* (LP.8.1.X)', 0.9946646027877363)]",LP.8.1.1 LP.8.1.12,0.99231933 0.00234528,16.75905270843653,99.83279269638498,LP.8.1.1,0.99231933
UT-UPHL-250307791438,"[('Omicron', 0.9998471927889381)]",XEQ,0.99984719,12.836357188561413,96.76621074808547,XEQ,0.99984719
UT-UPHL-250307835227,"[('XEC* (XEC.X)', 0.9992022919614744)]",XEC.2.2.1,0.99920229,12.58558387286507,99.64886466240846,XEC.2.2.1,0.99920229
UT-UPHL-250307844892,"[('XEC* (XEC.X)', 0.9995888154924938)]",XEC.2.1,0.99958882,16.19983316510354,98.61886767213991,XEC.2.1,0.99958882
UT-UPHL-250307863497,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9995666939727272)]",MC.10.1.1,0.99956669,21.37844097,99.67896197705916,MC.10.1.1,0.99956669
UT-UPHL-250307865779,"[('XEC* (XEC.X)', 0.9927794004876758)]",XEC.25 XEC.14.1 XEC.15 XEC.18.3,0.98533280 0.00406504 0.00226886 0.00111270,17.929359018092004,99.84951342674648,XEC.25,0.9853328
UT-UPHL-250307871423,"[('LP.8.1* (LP.8.1.X)', 0.9996412067075376)]",PP.2.1,0.99964121,18.01954638273964,99.64217637026385,PP.2.1,0.99964121
UT-UPHL-250307881117,"[('Omicron', 0.9984328986570672)]",XEQ,0.9984329,19.957589608911167,99.77928635922817,XEQ,0.9984329
UT-UPHL-250307937662,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9975479969897614)]",MC.2.1,0.997548,21.373474722773196,99.84616928067418,MC.2.1,0.997548
UT-UPHL-250328004618,"[('XEC* (XEC.X)', 0.98442158491498)]",XEC.25 XEC.15 XEC.36,0.97694318 0.00573888 0.00173952,16.517376806579456,99.86289001103569,XEC.25,0.97694318
UT-UPHL-250328021468,"[('XEC* (XEC.X)', 0.9958386862372824)]",XEC.5 XEC.3,0.99379790 0.00204079,9.587001374671939,99.56860515667324,XEC.5,0.9937979
UT-UPHL-250328073349,"[('LP.8.1* (LP.8.1.X)', 0.9918801404358039)]",LP.8.1 LP.8.1.12 NY.9 PP.2.1,0.98057015 0.00750585 0.00238971 0.00141444,17.96165137352599,99.83279269638498,LP.8.1,0.98057015
UT-UPHL-250328081009,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9945729678298917)]",MC.42 MC.16,0.99036273 0.00421023,17.234332803044218,99.43483931378123,MC.42,0.99036273
UT-UPHL-250328102207,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9909793517113478)]",MC.2,0.99097935,16.594204061099113,99.83279269638498,MC.2,0.99097935
UT-UPHL-250328107108,"[('BA.2.86* (BA.2.86.X)', 0.9917250805656896)]",JN.1.32 JN.16,0.99000713 0.00171795,26.425079314113013,99.76590977493898,JN.1.32,0.99000713
UT-UPHL-250328141280,"[('BA.2.86* (BA.2.86.X)', 0.9985351260469739)]",PV.3 LF.7.7.1,0.90782586 0.09070927,17.280823289880054,99.83279269638498,PV.3,0.90782586
UT-UPHL-250328154532,"[('LP.8.1* (LP.8.1.X)', 0.9894835415741907)]",LP.8.1 LP.8.1.12,0.98722280 0.00226074,17.709825593158193,99.88295488746948,LP.8.1,0.9872228
UT-UPHL-250328155192,"[('XEC* (XEC.X)', 0.995511474682337)]",XEC.2,0.99551147,12.635473288921041,99.57194930274554,XEC.2,0.99551147
UT-UPHL-250328164431,"[('LP.8.1* (LP.8.1.X)', 0.9890441062442585)]",LP.8.1.1 LP.8.1.12 NY.9 NY.14 NY.13.3,0.98333041 0.00206184 0.00142405 0.00113278 0.00109503,19.542580470213224,99.93980537,LP.8.1.1,0.98333041
UT-UPHL-250328168923,"[('Omicron', 0.9984950905593808)]",XES.1.1,0.99849509,14.800446163636375,99.83948098852957,XES.1.1,0.99849509
UT-UPHL-250328212660,"[('XEC* (XEC.X)', 0.9988166719998757)]",XEC.9,0.99881667,13.631646943753289,99.61876734775775,XEC.9,0.99881667
UT-UPHL-250328230324,"[('LP.8.1* (LP.8.1.X)', 0.9949677701578704)]",LP.8.1 PF.2 LP.8.1.12,0.99032924 0.00296379 0.00167474,13.70703250904867,99.57194930274554,LP.8.1,0.99032924
UT-UPHL-250328257261,"[('Omicron', 0.9981741767505072)]",XES.1.1,0.99817418,17.026988500560705,99.86289001103569,XES.1.1,0.99817418
UT-UPHL-250328292736,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9938832422822612)]",MC.10.1 MC.42 MC.23,0.98646944 0.00616917 0.00124463,16.57434019311531,99.57194930274554,MC.10.1,0.98646944
UT-UPHL-250328294119,"[('LP.8.1* (LP.8.1.X)', 0.9897296237792408)]",LP.8.1.1 NY.14 LP.8.1.12,0.98708915 0.00142950 0.00121098,21.52200800920327,99.86957830318028,LP.8.1.1,0.98708915
UT-UPHL-250328344586,"[('LP.8.1* (LP.8.1.X)', 0.9905283142772531)]",LP.8.1 LP.8.1.12 PF.2.2 LP.8.1.5,0.98144288 0.00580328 0.00189895 0.00138320,16.65854298623867,99.72912416814367,LP.8.1,0.98144288
UT-UPHL-250328386295,"[('LP.8.1* (LP.8.1.X)', 0.9970403665765647)]",PR.2,0.99704037,17.795282721852907,99.70571514563755,PR.2,0.99704037
UT-UPHL-250328390823,"[('LP.8.1* (LP.8.1.X)', 0.9902458438343111)]",LP.8.1.1 LP.8.1.12,0.98846605 0.00177979,15.80003176526781,99.86623415710798,LP.8.1.1,0.98846605
UT-UPHL-250328411364,"[('LP.8.1* (LP.8.1.X)', 0.9914419005455377)]",LP.8.1.1 NY.7 NY.9,0.98678189 0.00262111 0.00203890,15.488844552710592,99.83279269638498,LP.8.1.1,0.98678189
UT-UPHL-250328416382,"[('XEC* (XEC.X)', 0.9948352163919637)]",XEC.20 XEC.13 XEC.40,0.95543963 0.03333367 0.00606191,13.620096795352763,94.54569775607798,XEC.20,0.95543963
UT-UPHL-250328418594,"[('Other', 0.9986333787013187)]",XEK.2,0.99863338,14.266313780922843,98.87636691970705,XEK.2,0.99863338
UT-UPHL-250328420527,"[('BA.2.86* (BA.2.86.X)', 0.9979076211363939)]",LF.7.6.1,0.99790762,20.06692005150179,99.86289001103569,LF.7.6.1,0.99790762
UT-UPHL-250328422211,"[('LP.8.1* (LP.8.1.X)', 0.9955129185729334)]",LP.8.1.3 PF.2,0.99380546 0.00170746,17.056138003844943,99.75587733672207,LP.8.1.3,0.99380546
UT-UPHL-250328423735,"[('LP.8.1* (LP.8.1.X)', 0.9967185304974766)]",LP.8.1.3 LP.8.1.12,0.99545119 0.00126734,17.68008309322648,99.70571514563755,LP.8.1.3,0.99545119
UT-UPHL-250328442211,"[('BA.2.86* (BA.2.86.X)', 0.9962277051197389)]",LF.7.7.2 LF.7.9.5,0.99408001 0.00214769,16.95015900997714,99.80269538173427,LF.7.7.2,0.99408001
UT-UPHL-250328463582,"[('XEC* (XEC.X)', 0.9913594399620503)]",XEC.17 XEC.15 XEC.38 XEC.37 XEC.3 XEC.27 XEC.28,0.97993712 0.00414936 0.00154812 0.00154805 0.00147061 0.00142163 0.00128456,16.612941312634607,99.80603952780658,XEC.17,0.97993712
UT-UPHL-250328502091,"[('LP.8.1* (LP.8.1.X)', 0.9941866021866912)]",LP.8.1 LP.8.1.12 LP.8.1.3,0.98577720 0.00631873 0.00209067,13.56639637,99.67896197705916,LP.8.1,0.9857772
UT-UPHL-250328504539,"[('XEC* (XEC.X)', 0.9969217985354608)]",XEC.20 XEC.12 XEC XEC.32.2,0.98931654 0.00322568 0.00291325 0.00146633,11.145791293908822,99.52847540380564,XEC.20,0.98931654
