Analysis,Bam File,Sample,Method,Depth,SARS-CoV-2_1,SARS-CoV-2_2,SARS-CoV-2_3,SARS-CoV-2_4,SARS-CoV-2_5,SARS-CoV-2_6,SARS-CoV-2_7,SARS-CoV-2_8,SARS-CoV-2_9,SARS-CoV-2_10,SARS-CoV-2_11,SARS-CoV-2_12,SARS-CoV-2_13,SARS-CoV-2_14,SARS-CoV-2_15,SARS-CoV-2_16,SARS-CoV-2_17,SARS-CoV-2_18,SARS-CoV-2_19,SARS-CoV-2_20,SARS-CoV-2_21,SARS-CoV-2_22,SARS-CoV-2_23,SARS-CoV-2_24,SARS-CoV-2_25,SARS-CoV-2_26,SARS-CoV-2_27,SARS-CoV-2_28,SARS-CoV-2_29,SARS-CoV-2_30,SARS-CoV-2_31,SARS-CoV-2_32,SARS-CoV-2_33,SARS-CoV-2_34,SARS-CoV-2_35,SARS-CoV-2_36,SARS-CoV-2_37,SARS-CoV-2_38,SARS-CoV-2_39,SARS-CoV-2_40,SARS-CoV-2_41,SARS-CoV-2_42,SARS-CoV-2_43,SARS-CoV-2_44,SARS-CoV-2_45,SARS-CoV-2_46,SARS-CoV-2_47,SARS-CoV-2_48,SARS-CoV-2_49,SARS-CoV-2_50,SARS-CoV-2_51,SARS-CoV-2_52,SARS-CoV-2_53,SARS-CoV-2_54,SARS-CoV-2_55,SARS-CoV-2_56,SARS-CoV-2_57,SARS-CoV-2_58,SARS-CoV-2_59,SARS-CoV-2_60,SARS-CoV-2_61,SARS-CoV-2_62,SARS-CoV-2_63,SARS-CoV-2_64,SARS-CoV-2_65,SARS-CoV-2_66,SARS-CoV-2_67,SARS-CoV-2_68,SARS-CoV-2_69,SARS-CoV-2_70,SARS-CoV-2_71,SARS-CoV-2_72,SARS-CoV-2_73,SARS-CoV-2_74,SARS-CoV-2_75,SARS-CoV-2_76,SARS-CoV-2_77,SARS-CoV-2_78,SARS-CoV-2_79,SARS-CoV-2_80,SARS-CoV-2_81,SARS-CoV-2_82,SARS-CoV-2_83,SARS-CoV-2_84,SARS-CoV-2_85,SARS-CoV-2_86,SARS-CoV-2_87,SARS-CoV-2_88,SARS-CoV-2_89,SARS-CoV-2_90,SARS-CoV-2_91,SARS-CoV-2_92,SARS-CoV-2_93,SARS-CoV-2_94,SARS-CoV-2_95,SARS-CoV-2_96
FPCOV-1,UT-UPHL-250307937662_seqkit_50_trimmed.sorted,UT-UPHL-250307937662,seqkit,50,96.18,44.12,99.44,39.24,42.48,94.25,91.78,94.86,100,96.02,89.6,100,100,100,93.71,100,96.11,100,100,100,100,100,100,85.5,100,100,99.44,97.97,94.49,98.84,100,96.22,39.88,100,100,100,100,89.32,100,100,100,100,93.3,90.88,99.72,100,100,91.45,100,100,89.97,96.19,65.68,100,99.11,100,100,98.24,92.57,100,100,98.88,100,100,97.73,0,100,100,93.59,100,100,100,94.48,91.86,99.12,98,100,97.75,91.88,94.22,98.84,95.59,99.41,95.91,100,95.91,95.1,88.56,97.47,92.12,97.13,100,100,100,98.87,99.15
FPCOV-1,UT-UPHL-250328004618_bbnorm_10000_trimmed.sorted,UT-UPHL-250328004618,bbnorm,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_1000_trimmed.sorted,UT-UPHL-250328004618,bbnorm,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,96.73,98.09,100,97.83,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_100_trimmed.sorted,UT-UPHL-250328004618,bbnorm,100,100,100,99.44,100,100,100,99.15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.38,100,100,100,100,100,100,100,100,100,100,96.65,100,100,100,100,100,100,100,100,95.91,100,100,100,100,100,100,100,98.29,100,98.03,100,100,100,100,100,99.72,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,97,100,94.82,97.28,100,98.03,97.83,100,100,99.44,95.71,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_10_trimmed.sorted,UT-UPHL-250328004618,bbnorm,10,100,100,84.83,97.67,100,97.13,87.25,100,90.77,94.89,98.84,87.72,100,93.39,86.86,89.76,92.51,91.3,91.62,95.8,95.37,100,100,95.27,90.18,97.93,94.93,89.83,95.07,97.09,91.09,94.77,86.9,95.31,100,100,99.7,88.13,96.85,100,81.38,91.62,88.55,83.48,90.62,100,93.77,100,95.88,87.39,91.74,89.92,84.32,89.33,98.22,95.68,84.62,100,92.29,91.43,97.74,82.3,97.19,100,91.78,96.76,95.31,96.32,97.67,100,90.38,99.39,100,100,86.26,98,100,80,91.88,98.27,92.46,93.24,94.13,90.19,100,100,91.55,100,87.08,89.95,97.13,97.69,100,85.25,90.68,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_200_trimmed.sorted,UT-UPHL-250328004618,bbnorm,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.16,100,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,98.09,100,95.91,95.64,100,99.16,95.65,99.14,100,100,95.71,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_300_trimmed.sorted,UT-UPHL-250328004618,bbnorm,300,100,100,100,100,100,100,99.15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.44,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,100,96.73,97.28,94.28,99.44,95.65,100,100,100,94.64,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_30_trimmed.sorted,UT-UPHL-250328004618,bbnorm,30,100,100,92.7,100,98.53,95.11,99.15,100,100,95.74,100,99.12,100,100,97.43,100,100,100,100,100,100,100,95.64,98.22,99.4,100,100,100,100,100,100,93.31,100,100,100,100,100,96.74,100,100,100,100,98.32,100,100,100,100,100,100,97.71,100,94.28,100,99.16,94.67,99.14,93.73,100,99.14,100,97.74,97.47,100,100,97.17,97.94,95.31,100,99.42,100,100,100,97.38,100,100,98.29,100,99.72,97.39,100,100,99.41,100,95.91,96.49,91.83,91.28,91.83,98.6,89.95,95.69,100,98.59,89.28,93.79,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_400_trimmed.sorted,UT-UPHL-250328004618,bbnorm,400,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,100,96.73,100,96.46,100,97.83,100,100,100,95.17,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_5000_trimmed.sorted,UT-UPHL-250328004618,bbnorm,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_500_trimmed.sorted,UT-UPHL-250328004618,bbnorm,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,100,100,96.73,100,100,99.16,100,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-250328004618_bbnorm_50_trimmed.sorted,UT-UPHL-250328004618,bbnorm,50,100,100,98.88,100,100,100,99.15,99.43,100,98.58,100,100,100,99.43,100,100,100,100,100,100,100,100,100,99.11,100,100,100,100,100,100,100,95.64,100,100,100,100,100,100,97.71,100,99.14,100,96.65,93.73,98.01,100,100,100,100,100,100,92.64,100,99.16,98.22,100,100,100,99.71,100,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,97.65,98.53,98.09,100,95.91,100,90.74,98.03,95.11,97.7,99.42,100,94.37,99.72,100
