	summarized	lineages	abundances	resid	coverage
240905-CWSD19-UT_bbnorm_5000_variants.tsv	[('XEC* (XEC.X)', 0.9092093340558176), ('KP.3.1.1* (KP.3.1.1.X)', 0.047257992604098874), ('BA.2.86* (BA.2.86.X)', 0.03457697597458498)]	XEC.20 JN.1.16.5 MC.42 XEC.4 MC.11 MC.19 XEC.25 MC.11.1 XEC.3 KP.2.3.2	0.88562277 0.03342570 0.02010310 0.01694518 0.01594184 0.00881181 0.00450477 0.00240124 0.00213661 0.00115127	16.813380464593646	99.68899441527606
240905-CWSD19-UT_seqkit_5000_variants.tsv	[('XEC* (XEC.X)', 0.9197434775512106), ('BA.2.86* (BA.2.86.X)', 0.043618974521966294), ('KP.3.1.1* (KP.3.1.1.X)', 0.020491836084546904), ('KP.3* (KP.3.X)', 0.008244158999733768)]	XEC.20 JN.1.16.5 MC.11 XEC.4 KP.3.1.10 XEC.27 MC.19 KP.2.3.2 LB.1.11.1 XEC.31	0.90032566 0.04049374 0.01840410 0.01491173 0.00824416 0.00346440 0.00208774 0.00176246 0.00136278 0.00104169	12.950584965250789	99.64552051633615
240905-CWSD19-UT_bbnorm_10000_variants.tsv	[('XEC* (XEC.X)', 0.9139539864702779), ('KP.3.1.1* (KP.3.1.1.X)', 0.040871935713684096), ('BA.2.86* (BA.2.86.X)', 0.03466024048165854)]	XEC.20 JN.1.16.5 MC.11 XEC.4 MC.42 MC.19 XEC.25 MC.11.1 XEC.3 KP.2.1 KP.2.3.2	0.89117401 0.03183030 0.01653456 0.01611121 0.01604570 0.00595909 0.00450427 0.00233259 0.00216449 0.00171648 0.00111346	16.688022166179724	99.73581246028826
240905-CWSD19-UT_seqkit_10000_variants.tsv	[('XEC* (XEC.X)', 0.9184210484611568), ('BA.2.86* (BA.2.86.X)', 0.04084326995361424), ('KP.3.1.1* (KP.3.1.1.X)', 0.02917011573402232)]	XEC.20 JN.1.16.5 MC.11 XEC.4 MC.19 XEC.3 MC.42 KP.2.3.2	0.89650060 0.03949977 0.01815339 0.01732149 0.00685448 0.00459896 0.00416225 0.00134350	13.49478917174593	99.67561783098685
240227-SVWRF3-UT_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9944850361337387)]	JN.1.4.9 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.9.2 JN.1.64.1 JN.1.39 JN.1.39.2 JN.1.26 JN.1.1.2 JN.1.36 JN.1.8.3	0.29139540 0.22437254 0.12862946 0.09870223 0.07984229 0.04700970 0.04232342 0.03382557 0.02322319 0.01416386 0.00442877 0.00410334 0.00246526	12.87623087941898	99.60539076346855
240227-SVWRF3-UT_bbnorm_10_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999953605408116)]	JN.1.4.5 JN.1.64 JN.1.9	0.46153379 0.33332425 0.20513732	9.33544686389131	97.74938969334181
240227-SVWRF3-UT_seqkit_10_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.999995920187956)]	JN.1.36 JN.1.4 JN.1.4.9 JN.1.4.1 JN.1.4.4 LB.1 LB.1.8 LB.1.6 LB.1.4 LB.1.10 JN.1.9 JN.1.9.2 JN.1.4.6 JN.1.4.3 KQ.1 JN.1.32.1 JN.1.7.4 JN.1.7 JN.1.7.2 JN.1.7.1 JN.1.7.3	0.12499976 0.06347696 0.06347696 0.06347696 0.06347696 0.04110805 0.04110805 0.04110805 0.04110805 0.04110805 0.04110805 0.04110805 0.04036392 0.04036392 0.04036392 0.03677741 0.03509256 0.03509256 0.03509256 0.03509256 0.03509256	1.933855595426219	6.012774637996188
240227-SVWRF3-UT_bbnorm_30_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999998673732643)]	JN.1.4.5 JN.1.9 JN.1.64 JN.1.8 JN.1.4.6 JN.1.9.2 JN.1.64.1	0.36038912 0.16175534 0.15188763 0.11992406 0.07142872 0.06775264 0.06686235	10.289916462403243	99.52847540380564
240227-SVWRF3-UT_seqkit_30_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.999998831486282)]	JN.1.8 JN.1.4 JN.1.4.1 JN.1.9 JN.1.4.6 JN.1.4.3 JN.1.32.1	0.41666676 0.16216547 0.16216547 0.14789077 0.03783442 0.03783442 0.03544152	3.292971713495613	28.31488479416781
240227-SVWRF3-UT_bbnorm_50_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999914104392094)]	JN.1.4.5 JN.1.8 JN.1.4.6 JN.1.9 JN.1.9.2 JN.1.64 JN.1.64.1 JN.1.26	0.24126383 0.18583901 0.17808597 0.11211438 0.10527609 0.08268812 0.07860129 0.01612271	9.782710049195732	99.52847540380564
